"Infection","age","year","Species"
24.7,"0-4",2008,"Campylobacte"
27.2,"0-4",2009,"Campylobacte"
25.9,"0-4",2010,"Campylobacte"
24.7,"0-4",2011,"Campylobacte"
24.5,"0-4",2012,"Campylobacte"
24.5,"0-4",2013,"Campylobacte"
22.1,"0-4",2014,"Campylobacte"
20.9,"0-4",2015,"Campylobacte"
20.3,"0-4",2016,"Campylobacte"
19.7,"0-4",2017,"Campylobacte"
9.5,"5-11",2008,"Campylobacte"
10.5,"5-11",2009,"Campylobacte"
9.8,"5-11",2010,"Campylobacte"
9.7,"5-11",2011,"Campylobacte"
9.4,"5-11",2012,"Campylobacte"
9.4,"5-11",2013,"Campylobacte"
8.8,"5-11",2014,"Campylobacte"
7.9,"5-11",2015,"Campylobacte"
7.3,"5-11",2016,"Campylobacte"
8,"5-11",2017,"Campylobacte"
8.3,"12-17",2008,"Campylobacte"
7.7,"12-17",2009,"Campylobacte"
9.9,"12-17",2010,"Campylobacte"
9.1,"12-17",2011,"Campylobacte"
9.8,"12-17",2012,"Campylobacte"
9,"12-17",2013,"Campylobacte"
8.9,"12-17",2014,"Campylobacte"
7.8,"12-17",2015,"Campylobacte"
6.7,"12-17",2016,"Campylobacte"
7.2,"12-17",2017,"Campylobacte"
12.7,"18-24",2008,"Campylobacte"
12.4,"18-24",2009,"Campylobacte"
13,"18-24",2010,"Campylobacte"
14.5,"18-24",2011,"Campylobacte"
12.8,"18-24",2012,"Campylobacte"
12.4,"18-24",2013,"Campylobacte"
14,"18-24",2014,"Campylobacte"
12.3,"18-24",2015,"Campylobacte"
11.5,"18-24",2016,"Campylobacte"
12.5,"18-24",2017,"Campylobacte"
12.4,"25-44",2008,"Campylobacte"
12.6,"25-44",2009,"Campylobacte"
13.2,"25-44",2010,"Campylobacte"
14.3,"25-44",2011,"Campylobacte"
14.7,"25-44",2012,"Campylobacte"
13.6,"25-44",2013,"Campylobacte"
13,"25-44",2014,"Campylobacte"
12.9,"25-44",2015,"Campylobacte"
11.4,"25-44",2016,"Campylobacte"
12.1,"25-44",2017,"Campylobacte"
13.1,"45-54",2008,"Campylobacte"
12.2,"45-54",2009,"Campylobacte"
13.6,"45-54",2010,"Campylobacte"
14.3,"45-54",2011,"Campylobacte"
13.9,"45-54",2012,"Campylobacte"
14.1,"45-54",2013,"Campylobacte"
13.3,"45-54",2014,"Campylobacte"
13.4,"45-54",2015,"Campylobacte"
12.3,"45-54",2016,"Campylobacte"
12.4,"45-54",2017,"Campylobacte"
13.1,"55-64",2008,"Campylobacte"
13.6,"55-64",2009,"Campylobacte"
13.9,"55-64",2010,"Campylobacte"
14.8,"55-64",2011,"Campylobacte"
15.5,"55-64",2012,"Campylobacte"
14.5,"55-64",2013,"Campylobacte"
14.4,"55-64",2014,"Campylobacte"
13.9,"55-64",2015,"Campylobacte"
13.7,"55-64",2016,"Campylobacte"
13.6,"55-64",2017,"Campylobacte"
12,"65-74",2008,"Campylobacte"
13,"65-74",2009,"Campylobacte"
13.1,"65-74",2010,"Campylobacte"
15.4,"65-74",2011,"Campylobacte"
15.5,"65-74",2012,"Campylobacte"
15.5,"65-74",2013,"Campylobacte"
14.9,"65-74",2014,"Campylobacte"
15.1,"65-74",2015,"Campylobacte"
12.9,"65-74",2016,"Campylobacte"
14.7,"65-74",2017,"Campylobacte"
11.1,"75-84",2008,"Campylobacte"
11.5,"75-84",2009,"Campylobacte"
13.5,"75-84",2010,"Campylobacte"
14.4,"75-84",2011,"Campylobacte"
14,"75-84",2012,"Campylobacte"
13.8,"75-84",2013,"Campylobacte"
13.8,"75-84",2014,"Campylobacte"
13,"75-84",2015,"Campylobacte"
12.1,"75-84",2016,"Campylobacte"
11.2,"75-84",2017,"Campylobacte"
8.6,"85+",2008,"Campylobacte"
12.7,"85+",2009,"Campylobacte"
10.7,"85+",2010,"Campylobacte"
13.6,"85+",2011,"Campylobacte"
11.9,"85+",2012,"Campylobacte"
11.7,"85+",2013,"Campylobacte"
10,"85+",2014,"Campylobacte"
10.5,"85+",2015,"Campylobacte"
9.3,"85+",2016,"Campylobacte"
10.1,"85+",2017,"Campylobacte"
4,"0-4",2008,"Escherichia"
3.6,"0-4",2009,"Escherichia"
3.5,"0-4",2010,"Escherichia"
3.7,"0-4",2011,"Escherichia"
4.8,"0-4",2012,"Escherichia"
4.2,"0-4",2013,"Escherichia"
3.3,"0-4",2014,"Escherichia"
3.8,"0-4",2015,"Escherichia"
4.5,"0-4",2016,"Escherichia"
3,"0-4",2017,"Escherichia"
2.4,"5-11",2008,"Escherichia"
2.1,"5-11",2009,"Escherichia"
2.1,"5-11",2010,"Escherichia"
1.8,"5-11",2011,"Escherichia"
2.3,"5-11",2012,"Escherichia"
2.6,"5-11",2013,"Escherichia"
1.9,"5-11",2014,"Escherichia"
2.3,"5-11",2015,"Escherichia"
2.1,"5-11",2016,"Escherichia"
1.7,"5-11",2017,"Escherichia"
1.9,"12-17",2008,"Escherichia"
1.6,"12-17",2009,"Escherichia"
1.2,"12-17",2010,"Escherichia"
1.2,"12-17",2011,"Escherichia"
1.5,"12-17",2012,"Escherichia"
1.6,"12-17",2013,"Escherichia"
1.3,"12-17",2014,"Escherichia"
1.3,"12-17",2015,"Escherichia"
1.4,"12-17",2016,"Escherichia"
1.1,"12-17",2017,"Escherichia"
1.4,"18-24",2008,"Escherichia"
1.4,"18-24",2009,"Escherichia"
1,"18-24",2010,"Escherichia"
1,"18-24",2011,"Escherichia"
1.4,"18-24",2012,"Escherichia"
1.4,"18-24",2013,"Escherichia"
1.2,"18-24",2014,"Escherichia"
1,"18-24",2015,"Escherichia"
1.2,"18-24",2016,"Escherichia"
0.9,"18-24",2017,"Escherichia"
0.5,"25-44",2008,"Escherichia"
0.4,"25-44",2009,"Escherichia"
0.5,"25-44",2010,"Escherichia"
0.5,"25-44",2011,"Escherichia"
0.6,"25-44",2012,"Escherichia"
0.6,"25-44",2013,"Escherichia"
0.5,"25-44",2014,"Escherichia"
0.6,"25-44",2015,"Escherichia"
0.6,"25-44",2016,"Escherichia"
0.5,"25-44",2017,"Escherichia"
0.6,"45-54",2008,"Escherichia"
0.4,"45-54",2009,"Escherichia"
0.4,"45-54",2010,"Escherichia"
0.4,"45-54",2011,"Escherichia"
0.4,"45-54",2012,"Escherichia"
0.4,"45-54",2013,"Escherichia"
