"category","2006","2009-2010","2015-2016"
"Total","88.1","83.7","86.1"
"Sex","","",""
"   Male","87.5","84","85.8"
"   Female","88.5","83.5","86.4"
"Race/Ethnicity","","",""
"   Asian only","73.7","77.6","73.5"
"   Black or African American only","77.8","70.1","73.4"
"   White only","91.4","88.4","89.4"
"   2 or more races","90.4","78.6","87.3"
"   Hispanic or Latino","77.6","85","78.9"
"   Not Hispanic or Latino","89.5","74.5","87.5"
"      Black or African American only, not Hispanic or Latino","78.2","88.6","73.3"
"      White only, not Hispanic or Latino","91.7","69.9","90.5"
"Age group","","",""
"   18-44 years","87.6","82.3","85.9"
"   45-64 years","87.7","84","86"
"   65 years and over","89.7","85.4","87.9"
"Educational attainment (25 years and over)","","",""
"   < High school","83.7","76.1","79.7"
"   High school","86.4","83.3","84.7"
"   Some college","89.7","83.6","88.2"
"   4-year college degree","91.6","87.8","87.9"
"   Advanced degree","90.1","88","85.2"
"Family income (percent poverty threshold)","","",""
"   <100","77.5","77.3","80.1"
"   100-199","85.6","76.6","86.6"
"   200-399","89.2","87.7","86.8"
"   400-599","90.6","87.2","89.6"
"   600+","90.6","89.1","88.1"
