,,2008,,,,2013-2014,,,,2017-2018,,,
PopTitle,Geography,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI
Total,United States,71.3,4.667,0,0,76,2.335,71.5,80.6,75.4,2.419,68.7,82.1
,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,
[1]: Target has been revised. See Data Details for more information.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,
"Retail Food Risk Factor Studies, CFSAN
",,,,,,,,,,,,,
,,,,,,,,,,,,,
Additional Footnotes:,,,,,,,,,,,,,
† Target is not applicable for this population group.,,,,,,,,,,,,,
§ This population group is not age adjusted.,,,,,,,,,,,,,
"DSU: Data do not meet the criteria for statistical reliability, data quality, or confidentiality.",,,,,,,,,,,,,
DNC: Data for specific population not collected.,,,,,,,,,,,,,
CI: 95% confidence interval.,,,,,,,,,,,,,
Data are subject to revision and may have changed since a previous release.,,,,,,,,,,,,,
"Unless noted otherwise, any age-adjusted data are adjusted using the year 2000 standard population.",,,,,,,,,,,,,
Data are not available or not collected for populations not shown.,,,,,,,,,,,,,
