"Illnesses","Hospitalizations","Deaths","Label"
314,13,1,"Other"
3,1,1,"Escherichia"
21,4,1,"Norovirus"
25,9,1,"Escherichia"
6,2,1,"Salmonella"
16,7,1,"Other"
15,7,2,"Escherichia"
13,4,1,"Salmonella"
2,2,1,"Other"
6,4,1,"Other"
20,3,1,"Salmonella"
3,3,1,"Other"
147,143,33,"Other"
77,14,1,"Escherichia"
15,1,1,"Other"
2,2,1,"Other"
6,6,4,"Other"
261,94,3,"Salmonella"
33,11,1,"Salmonella"
23,21,5,"Other"
17,1,1,"Salmonella"
14,9,1,"Escherichia"
4,1,1,"Escherichia"
14,6,1,"Salmonella"
11,4,1,"Salmonella"
6,6,1,"Other"
8,7,1,"Other"
24,2,1,"Norovirus"
2,2,2,"Other"
4,2,1,"Escherichia"
99,10,1,"Campylobacter"
3,2,1,"Other"
2,2,1,"Other"
13,6,1,"Salmonella"
275,48,1,"Salmonella"
36,5,1,"Norovirus"
12,3,1,"Escherichia"
4,2,2,"Other"
61,7,1,"Norovirus"
9,8,1,"Other"
5,3,2,"Other"
35,34,7,"Other"
3,2,1,"Other"
29,28,2,"Other"
10,10,3,"Other"
57,0,1,"Other"
283,27,1,"Salmonella"
2,1,1,"Other"
17,0,1,"Norovirus"
2,2,1,"Other"
281,71,2,"Other"
2,1,1,"Other"
9,9,4,"Other"
32,10,1,"Salmonella"
10,9,3,"Other"
2,1,1,"Other"
4,3,1,"Other"
3,3,1,"Other"
2,2,2,"Other"
9,2,1,"Salmonella"
8,7,1,"Other"
5,5,1,"Other"
20,7,2,"Escherichia"
10,9,2,"Other"
11,4,1,"Salmonella"
2,2,1,"Salmonella"
20,5,1,"Salmonella"
28,25,3,"Other"
5,2,1,"Salmonella"
8,8,1,"Other"
44,8,1,"Salmonella"
16,10,1,"Other"
2,2,2,"Other"
6,3,1,"Norovirus"
24,6,1,"Salmonella"
107,43,1,"Salmonella"
53,9,1,"Salmonella"
213,68,1,"Salmonella"
33,3,1,"Salmonella"
23,3,3,"Other"
6,5,2,"Other"
8,8,1,"Other"
30,11,1,"Salmonella"
118,45,1,"Salmonella"
25,9,1,"Escherichia"
11,7,2,"Other"
265,94,1,"Salmonella"
10,10,1,"Other"
2,2,1,"Other"
32,7,1,"Salmonella"
77,36,1,"Salmonella"
239,104,5,"Escherichia"
8,7,1,"Salmonella"
18,6,1,"Escherichia"
9,3,1,"Salmonella"
36,31,4,"Other"
5,4,1,"Other"
129,25,1,"Salmonella"
3,3,1,"Other"
16,8,2,"Other"
41,34,4,"Other"
9,9,3,"Other"
358,133,1,"Salmonella"
25,11,1,"Salmonella"
75,6,2,"Other"
10,9,1,"Other"
221,54,1,"Salmonella"
24,22,2,"Other"
10,7,3,"Other"
8,5,1,"Other"
11,9,2,"Other"
10,10,2,"Other"
