"Year","Month","State","Illnesses","setting_new","Etiology_new"
2009,1,"Minnesota",2,"restaurant","Norovirus"
2009,1,"Minnesota",5,"restaurant","Norovirus"
2009,1,"Minnesota",3,"restaurant","Norovirus"
2009,1,"Minnesota",21,"restaurant","Norovirus"
2009,1,"Minnesota",7,"restaurant","Norovirus"
2009,2,"Minnesota",5,"restaurant","Norovirus"
2009,2,"Minnesota",22,"restaurant","Norovirus"
2009,2,"Minnesota",16,"restaurant","Norovirus"
2009,2,"Minnesota",11,"restaurant","Campylobacter"
2009,2,"Minnesota",6,"restaurant","Norovirus"
2009,2,"Alaska",35,"private residence","Norovirus"
2009,1,"Alabama",13,"restaurant","Other"
2009,1,"Illinois",6,"restaurant","Norovirus"
2009,1,"Illinois",23,"restaurant","Norovirus"
2009,1,"Illinois",26,"restaurant","Norovirus"
2009,1,"Illinois",7,"grocery","Salmonella"
2009,1,"Illinois",16,"restaurant","Norovirus"
2009,2,"Illinois",10,"restaurant","Norovirus"
2009,2,"Illinois",13,"restaurant","Norovirus"
2009,3,"Illinois",22,"restaurant","Norovirus"
2009,1,"Pennsylvania",9,"other","Campylobacter"
2009,1,"Tennessee",8,"grocery","Norovirus"
2009,3,"Tennessee",9,"restaurant","Norovirus"
2009,1,"Massachusetts",5,"restaurant","Salmonella"
2009,1,"Massachusetts",3,"private residence","Escherichia"
2009,2,"New York",24,"restaurant","Norovirus"
2009,1,"Tennessee",22,"restaurant","Norovirus"
2009,1,"Tennessee",6,"restaurant","Norovirus"
2009,1,"Florida",24,"restaurant","Norovirus"
2009,2,"Florida",13,"other","Norovirus"
2009,3,"New York",20,"private residence","Other"
2009,3,"Illinois",6,"restaurant","Salmonella"
2009,3,"Illinois",6,"private residence","Campylobacter"
2009,3,"Illinois",27,"restaurant","Norovirus"
2009,4,"Illinois",24,"private residence","Other"
2009,3,"Illinois",5,"grocery","Salmonella"
2009,1,"Wisconsin",16,"restaurant","Norovirus"
2009,1,"Wisconsin",5,"restaurant","Norovirus"
2009,3,"Ohio",20,"caterer","Norovirus"
2009,1,"New Hampshire",11,"office","Norovirus"
2009,3,"Idaho",8,"private residence","Other"
2009,4,"Minnesota",15,"restaurant","Norovirus"
2009,3,"Wisconsin",23,"restaurant","Norovirus"
2009,1,"Connecticut",21,"restaurant","Norovirus"
2009,1,"Connecticut",7,"restaurant","Salmonella"
2009,2,"Connecticut",4,"restaurant","Salmonella"
2009,4,"Minnesota",10,"restaurant","Norovirus"
2009,4,"New York",13,"restaurant","Salmonella"
2009,3,"Oklahoma",25,"restaurant","Salmonella"
2009,3,"Alabama",35,"restaurant","Norovirus"
2009,2,"Wisconsin",16,"caterer","Norovirus"
2009,1,"South Carolina",4,"restaurant","Norovirus"
2009,4,"Illinois",4,"restaurant","Norovirus"
2009,3,"Oregon",12,"restaurant","Norovirus"
2009,3,"Oregon",49,"school","Norovirus"
2009,4,"Hawaii",13,"prison","Other"
2009,4,"Illinois",11,"office","Norovirus"
2009,5,"Ohio",23,"private residence","Other"
2009,4,"Minnesota",17,"restaurant","Norovirus"
2009,4,"Ohio",3,"restaurant","Escherichia"
2009,4,"Connecticut",47,"school","Other"
2009,5,"Connecticut",13,"restaurant","Norovirus"
2009,4,"Wisconsin",8,"restaurant","Other"
2009,3,"New York",3,"other","Salmonella"
2009,4,"Wisconsin",14,"private residence","Salmonella"
2009,2,"Florida",30,"caterer","Norovirus"
2009,5,"Pennsylvania",2,"private residence","Campylobacter"
2009,5,"Illinois",39,"caterer","Norovirus"
2009,5,"Illinois",32,"private residence","Norovirus"
2009,1,"California",10,"restaurant","Norovirus"
2009,1,"California",7,"restaurant","Norovirus"
2009,3,"California",7,"restaurant","Other"
2009,4,"California",9,"restaurant","Norovirus"
2009,5,"Ohio",15,"restaurant","Norovirus"
2009,5,"New York",20,"caterer","Other"
2009,5,"Virginia",19,"private residence","Other"
2009,5,"Arizona",13,"restaurant","Other"
2009,5,"Connecticut",2,"restaurant","Norovirus"
2009,6,"Virginia",12,"other","Other"
2009,6,"Minnesota",4,"private residence","Escherichia"
2009,6,"Ohio",2,"restaurant","Campylobacter"
2009,5,"California",26,"private residence","Norovirus"
2009,1,"Maryland",12,"restaurant","Norovirus"
2009,4,"Massachusetts",50,"private residence","Salmonella"
2009,1,"Maryland",13,"restaurant","Norovirus"
2009,5,"Minnesota",11,"private residence","Norovirus"
2009,4,"Virginia",4,"other","Other"
2009,6,"Tennessee",11,"restaurant","Norovirus"
2009,6,"Illinois",25,"other","Norovirus"
2009,6,"New York",9,"other","Campylobacter"
2009,2,"Ohio",5,"other","Norovirus"
2009,6,"Connecticut",10,"other","Norovirus"
2009,6,"Connecticut",2,"private residence","Other"
2009,6,"Minnesota",18,"private residence","Other"
2009,6,"Minnesota",2,"restaurant","Escherichia"
2009,2,"Georgia",8,"caterer","Norovirus"
2009,5,"New York",19,"restaurant","Salmonella"
2009,5,"Missouri",5,"private residence","Salmonella"
2009,5,"California",10,"restaurant","Norovirus"
2009,4,"California",6,"other","Other"
2009,6,"Minnesota",16,"caterer","Escherichia"
2009,6,"Ohio",2,"private residence","Escherichia"
2009,1,"Ohio",22,"caterer","Norovirus"
2009,5,"California",4,"restaurant","Other"
2009,1,"Florida",3,"private residence","Other"
2009,1,"Florida",3,"restaurant","Norovirus"
2009,6,"Florida",5,"restaurant","Other"
2009,6,"Florida",4,"private residence","Other"
2009,6,"Florida",2,"private residence","Other"
2009,3,"Utah",10,"private residence","Campylobacter"
2009,2,"Colorado",6,"restaurant","Norovirus"
2009,7,"Minnesota",6,"other","Norovirus"
2009,7,"Minnesota",5,"restaurant","Norovirus"
2009,6,"Illinois",34,"restaurant","Other"
2009,5,"Colorado",5,"restaurant","Other"
2009,3,"North Carolina",10,"other","Salmonella"
2009,5,"California",7,"caterer","Salmonella"
2009,1,"Colorado",10,"restaurant","Norovirus"
2009,1,"Colorado",9,"caterer","Norovirus"
2009,6,"Colorado",32,"restaurant","Norovirus"
