Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2009,1,Minnesota,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2009,1,Minnesota,Food,Norovirus,,Confirmed,,16,0,8,0,16,,,,,,,,
2009,1,Minnesota,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2009,1,Minnesota,Food,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,,,,,,,,
2009,1,Minnesota,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,21,0,21,0,21,cookies,,Multiple,,,,,
2009,1,Minnesota,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,7,0,7,0,7,"salad, unspecified",,Multiple,,,,,
2009,2,Minnesota,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,5,0,5,0,5,,,,,,,,
2009,2,Minnesota,Food,Norovirus Genogroup II,,Suspected,Restaurant - other or unknown type,22,1,1,0,22,mushrooms; pasta salad; fruit,,Multiple,,,,,
2009,2,Minnesota,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,16,0,16,0,16,vegetables,,Multiple,,,,,
2009,2,Minnesota,Food,Campylobacter jejuni,,Confirmed,Restaurant - other or unknown type,11,2,11,0,11,"lettuce, unspecified",,Vegetable Row Crops,,,,,
2009,2,Minnesota,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2009,2,Alaska,Food,Norovirus Genogroup I; Norovirus Genogroup II,,Confirmed; Confirmed,Private home/residence,35,0,35,0,35,,,,,,,,
2009,1,Alabama,Food,Bacillus cereus,,Confirmed,Restaurant - Sit-down dining,13,0,13,0,13,"rice, white",rice,Grains-Beans,,,,,
2009,1,Illinois,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2009,1,Illinois,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,23,0,21,0,21,,,,,,,,
2009,1,Illinois,Food,,,,Restaurant - other or unknown type,4,0,4,0,4,,,,,,,,
2009,1,Illinois,Food,,,,Caterer (food prepared off-site from where served),31,0,31,0,31,,,,,,,,
2009,1,Illinois,Food,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,26,1,26,0,26,"cake, chocolate",,Multiple,,,,,
2009,1,Illinois,Food,,,,Restaurant - other or unknown type,2,0,2,0,2,,,,,,,,
2009,1,Illinois,Food,,,,Restaurant - other or unknown type,4,0,4,0,4,,,,,,,,
2009,1,Illinois,Food,Salmonella enterica,Enteritidis,Confirmed,Grocery store; Other,7,2,7,0,7,,,,,,,,
2009,1,Illinois,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,16,0,16,0,16,,,,,,,,
2009,1,Illinois,Food,,,,Restaurant - other or unknown type,5,0,5,0,5,,,,,,,,
2009,2,Illinois,Food,Norovirus Genogroup II,,Suspected,Other,51,0,50,0,50,,,,,,,,
2009,2,Illinois,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,10,0,10,0,10,,,,,,,,
2009,2,Illinois,Food,,,,Restaurant - other or unknown type,3,0,3,0,3,,,,,,,,
2009,2,Illinois,Food,,,,Restaurant - other or unknown type,5,0,5,0,5,,,,,,,,
2009,2,Illinois,Food,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,13,0,13,0,13,,,,,,,,
2009,3,Illinois,Food,,,,Other,2,0,2,0,2,,,,,,,,
2009,3,Illinois,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),22,1,16,0,16,chicken salad,,Multiple,,,,,
2009,1,Pennsylvania,Food,Campylobacter jejuni,,Confirmed,Other,9,1,8,0,8,"milk, whole milk unpasteurized",,Dairy,,,,,
2009,1,Tennessee,Food,Norovirus Genogroup I,,Confirmed,Grocery store,8,1,8,0,8,cake,,Multiple,,,,,
