CommodityCode,CommodityDescription,MarketYear,CalendarYear,Month,AttributeDescription,UnitDescription,Value
0577400,"Almonds, Shelled Basis        ",2007,2014,10,Beginning Stocks,(MT)                ,60759.0
0577400,"Almonds, Shelled Basis        ",2007,2014,10,Production,(MT)                ,630493.0
0577400,"Almonds, Shelled Basis        ",2007,2014,10,Exports,(MT)                ,404352.0
0577400,"Almonds, Shelled Basis        ",2007,2014,10,Domestic Consumption,(MT)                ,185275.0
0577400,"Almonds, Shelled Basis        ",2007,2014,10,Ending Stocks,(MT)                ,104849.0
0577400,"Almonds, Shelled Basis        ",2007,2014,10,Total Distribution,(MT)                ,694476.0
0577400,"Almonds, Shelled Basis        ",2008,2017,10,Beginning Stocks,(MT)                ,104849.0
0577400,"Almonds, Shelled Basis        ",2008,2017,10,Production,(MT)                ,739356.0
0577400,"Almonds, Shelled Basis        ",2008,2017,10,Exports,(MT)                ,444329.0
0577400,"Almonds, Shelled Basis        ",2008,2017,10,Domestic Consumption,(MT)                ,214129.0
0577400,"Almonds, Shelled Basis        ",2008,2017,10,Ending Stocks,(MT)                ,187667.0
0577400,"Almonds, Shelled Basis        ",2008,2017,10,Total Distribution,(MT)                ,846125.0
0577400,"Almonds, Shelled Basis        ",2009,2017,10,Beginning Stocks,(MT)                ,187667.0
0577400,"Almonds, Shelled Basis        ",2009,2017,10,Production,(MT)                ,639565.0
0577400,"Almonds, Shelled Basis        ",2009,2017,10,Exports,(MT)                ,467542.0
0577400,"Almonds, Shelled Basis        ",2009,2017,10,Domestic Consumption,(MT)                ,216516.0
0577400,"Almonds, Shelled Basis        ",2009,2017,10,Ending Stocks,(MT)                ,145719.0
0577400,"Almonds, Shelled Basis        ",2009,2017,10,Total Distribution,(MT)                ,829777.0
0577400,"Almonds, Shelled Basis        ",2010,2017,10,Beginning Stocks,(MT)                ,145719.0
0577400,"Almonds, Shelled Basis        ",2010,2017,10,Production,(MT)                ,743891.0
0577400,"Almonds, Shelled Basis        ",2010,2017,10,Imports,(MT)                ,3677.0
0577400,"Almonds, Shelled Basis        ",2010,2017,10,Total Supply,(MT)                ,893287.0
0577400,"Almonds, Shelled Basis        ",2010,2017,10,Exports,(MT)                ,538937.0
0577400,"Almonds, Shelled Basis        ",2010,2017,10,Domestic Consumption,(MT)                ,239156.0
0577400,"Almonds, Shelled Basis        ",2010,2017,10,Ending Stocks,(MT)                ,115194.0
