Table 1.  U.S. consumption of plant nutrients,,,,,,,, ,,,,,
,,,,,,,,,,,,,
,,Primary nutrient content 1/,,,,,Share of total by nutrient,,,,,,
Year ending June 30,,  Nitrogen (N), Phosphate (P2O5),   Potash (K2O),   Total,, Nitrogen, Phosphate,Potash,,,,
,,,,,,, ,,,,,,
,,"-------------------1,000 nutrient short tons---------------",,,,,-----------------Percent-----------------,,,,,,
,,,,,,,,,,,,,
1960,:,"2,738","2,572","2,153","7,464",,36.68,34.47,28.85,,,,
1961,:,"3,031","2,645","2,169","7,844",,38.64,33.72,27.64,,,,
1962,:,"3,370","2,807","2,271","8,448",,39.89,33.23,26.88,,,,
1963,:,"3,929","3,073","2,503","9,505",,41.34,32.33,26.34,,,,
1964,:,"4,353","3,378","2,730","10,460",,41.61,32.29,26.10,,,,
1965,:,"4,639","3,512","2,835","10,985",,42.22,31.97,25.80,,,,
1966,:,"5,326","3,897","3,221","12,445",,42.80,31.32,25.88,,,,
1967,:,"6,027","4,305","3,642","13,974",,43.13,30.81,26.06,,,,
1968,:,"6,788","4,453","3,793","15,034",,45.15,29.62,25.23,,,,
1969,:,"6,958","4,666","3,892","15,515",,44.84,30.07,25.08,,,,
1970,:,"7,459","4,574","4,036","16,068",,46.42,28.46,25.11,,,,
1971,:,"8,134","4,803","4,231","17,168",,47.38,27.98,24.65,,,,
1972,:,"8,022","4,864","4,327","17,213",,46.61,28.26,25.14,,,,
1973,:,"8,295","5,085","4,649","18,029",,46.01,28.21,25.78,,,,
1974,:,"9,157","5,099","5,083","19,338",,47.35,26.37,26.28,,,,
1975,:,"8,601","4,507","4,453","17,561",,48.98,25.66,25.36,,,,
1976,:,"10,412","5,228","5,210","20,849",,49.94,25.07,24.99,,,,
1977,:,"10,647","5,630","5,834","22,111",,48.15,25.46,26.38,,,,
1978,:,"9,965","5,096","5,526","20,587",,48.40,24.75,26.84,,,,
1979,:,"10,715","5,606","6,245","22,565",,47.48,24.84,27.67,,,,
1980,:,"11,407","5,432","6,245","23,083",,49.42,23.53,27.05,,,,
1981,:,"11,924","5,434","6,320","23,678",,50.36,22.95,26.69,,,,
1982,:,"10,983","4,814","5,631","21,428",,51.26,22.47,26.28,,,,
1983,:,"9,127","4,138","4,831","18,096",,50.44,22.86,26.70,,,,
1984,:,"11,092","4,901","5,797","21,790",,50.90,22.49,26.60,,,,
1985,:,"11,493","4,658","5,553","21,703",,52.95,21.46,25.58,,,,
1986,:,"10,424","4,178","5,053","19,655",,53.04,21.26,25.71,,,,
1987,:,"10,210","4,008","4,837","19,054",,53.58,21.04,25.38,,,,
1988,:,"10,512","4,129","4,973","19,613",,53.60,21.05,25.35,,,,
1989,:,"10,593","4,117","4,838","19,548",,54.19,21.06,24.75,,,,
1990,:,"11,076","4,345","5,203","20,624",,53.71,21.07,25.23,,,,
1991,:,"11,287","4,201","5,001","20,489",,55.09,20.50,24.41,,,,
1992,:,"11,446","4,218","5,042","20,706",,55.28,20.37,24.35,,,,
1993,:,"11,393","4,436","5,141","20,969",,54.33,21.15,24.52,,,,
1994,:,"12,643","4,521","5,268","22,432",,56.36,20.15,23.48,,,,
1995,:,"11,719","4,425","5,128","21,272",,55.09,20.80,24.11,,,,
1996,:,"12,303","4,527","5,258","22,088",,55.70,20.50,23.80,,,,
