"","last","night","went","service","usually","great","food","","time","service","sucked","waited","","mins","waiter","come","take","drink","order","food","good","","","fruit","","flying","around","food","waiter","came","refill","drinks","cleared","dirty","plates","price","","","think","service","better","","","","","","","","","","","","",""
"place","awful","sides","","people","blasting","bass","rattling","walls","called","office","least","","times","done","nothing","cops","much","","water","shut","time","reading","older","reviews","","going","since","beginning","","office","anything","sent","","apartment","request","terrible","","","","","","","","","","","","","","","","","",""
"clothes","gone","cheaper","quality","store","dirty","","organized","wouldnt","even","","","polo","looks","like","quality","","dept","store","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"know","salad","","people","","","vegan","items","sadly","","came","said","many","vegan","options","","dressings","","soup","available","worth","price","limited","","vegan","food","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"great","place","","like","waiting","","hour","grilled","panini","sandwich","","cell","phone","service","anywhere","hotel","hotel","room","casino","floor","","customers","","clueless","hotel","staff","know","things","time","things","open","close","","","dark","","play","stupid","music","","entire","hotel","wonderful","shopping","mall","","","stores","open","please","","enjoy","things","listed",""
"terrible","","white","","patchy","pubic","looking","beard","brace","presume","jacking","hard","","rude","refused","sell","small","breasts","disgrace","superior","white","race","continued","turn","insane","clown","posy","stick","tongue","point","towards","door","recommend","come","fiesta","liquor","less","mile","away","unless","hate","","","","","","","","","","","","","",""
"went","bond","","lounge","bartender","looked","like","pitbull","serve","cousin","","","","know","","","","place","","","hyde","instead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","days","","since","took","","firestone","","review","witness","fact","forgot","","","","","change","still","accepting","liability","joey","huskey","manager","lied","assistant","manager","told","talk","knows","","","back","just","","company","like","","something","horrible","","","","","","","","","","","","","","","",""
"midtown","location","continues","","lack","customer","service","","","minutes","waiting","server","arrived","","fact","asked","needed","time","even","gotten","water","food","took","forever","long","take","cook","","eggs","easy","last","time","coming","","","","","","","","","","","","","","","","","","","","","",""
"went","birthday","dinner","fish","chips","greasy","","hours","still","sitting","well","stomach","service","good","call","waiter","drink","refill","higher","","place","recommend","dish","maybe","different","cook","better","also","","dish","worth","money","friend","ordered","lamb","burger","","much","much","better","still","standard","name","brand","","","","","","","","","","",""
"poor","service","waited","","minutes","without","even","","","tables","received","attention","many","options","vegas","","poor","customer","service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"second","time","returning","customer","","ticket","times","food","beverage","","server","weeds","","hostesses","seating","section","bussers","wandered","around","aimlessly","m.o.d","careless","","existent","ticket","table","","entrees","delivered","","minutes","apart","operation","","sloppy","","","","","","","","","","","","","","","","","","","",""
"bouncers","super","rude","came","sisters","","birthday","asking","verify","address","","smile","","","","proceeded","shove","followed","","","recommend","club","poor","people","skills","security","wants","important","save","time","money","","somewhere","else","","","","","","","","","","","","","","","","","","","","",""
"worst","service","ever","literally","sitting","post","sign","says","please","seat","","table","twenty","minutes","","single","server","even","greeted","","alone","","want","drink","nice","","value","service","","zero","lets","","long","takes","","","","","","","","","","","","","","","","","","","","",""
"store","clean","well","organized","wait","time","hour","able","","errands","come","back","pick","","","","customer","service","","customer","familiar","process","asked","question","clarify","returned","pickup","response","","short","","chose","support","business","take","items","elsewhere","","","","","","","","","","","","","","","","","",""
"server","friendly","managed","","","wrong","also","request","things","multiple","times","hostess","great","","trying","","situation","food","good","remember","","server","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"needed","","garden","section","","around","asked","","ladies","paint","section","anyone","working","garden","told","back","checkout","explained","gone","whole","","","snapped","leave","empty","went","whole","section","still","","left","rude","response","trying","","help","went","home","depot","helpful","","","","","","","","","","","","","","",""
"","","heard","good","things","reality","poor","must","short","staffed","","least","","tables","","bused","service","","rude","slow","took","almost","","minutes","","drink","finally","decided","leave","price","point","charging","much","better","","","figure","wants","","closed","","","","","","","","","","","","","","",""
"wish","rate","place","less","star","arrived","breakfast","around","","","stood","around","","minutes","","ignored","","open","tables","asked","staff","multiple","times","","table","place","order","rudely","waved","time","half","hour","ignored","left","waste","time","","","","","","","","","","","","","","","","","","",""
"food","good","service","sucks","every","time","come","slow","time","server","pong","just","plain","want","anything","","asked","something","rolled","eyes","took","literally","","minutes","even","come","back","table","empty","drinks","whole","time","probably","like","","tables","dead","never","felt","unwelcome","","order","food","","best","","","","","","","","","",""
"terrible","white","ugly","","bouncer","","glasses","","","locals","supposed","","","state","","","free","","","","matter","girls","guys","games","take","","","credit","","","coins","work","believe","place","still","business","guess","charge","","manage","stay","open","","","","","","","","","","","","",""
"worst","thing","japanese","sashimi","place","sakanaya","gone","main","reason","going","good","","many","things","sell","china","trust","products","country","famous","using","toxins","fake","","make","food","products","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"terrible","","music","ultra","quiet","awkward","kids","pricing","","year","","costs","adult","meal","family","friendly","","skip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"just","","","washed","last","","went","","","ownership","","inclusive","","wash","however","","dressed","","freshener","supplied","basically","outside","washed","carpet","vacuumed","worth","price","","comes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"just","","carne","asada","torta","spit","nearly","meat","","","chew","nasty","just","nasty","bread","guac","lettuce","tomato","onion","jalapenos","great","meat","fatty","chew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","open","posted","business","hours","turned","lights","knocked","hopefully","","else","trying","pick","something","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"half","assed","","","major","sales","schpiel","actually","talk","","offended","succumb","corporate","office","","care","less","call","know","still","business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bland","expensive","better","maling","really","wanted","like","place","servers","friendly","though","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"surprised","find","poor","reviews","looked","business","yelp","","phone","impatient","jerk","kind","sketchy","talking","prices","guys","owner","owner","stop","answer","calls","","people","general","probably","killing","business","tell","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","cockroach","ciabatta","bread","crepes","almost","delicious","enough","look","","little","grossed","ever","frequent","place","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show","weeks","","aweful","show","honest","countless","broadway","shows","seen","phantom","opera","","times","mama","","","times","also","seen","cirque","","sole","show","","worse","ever","seen","silly","visual","effects","make","good","broadway","show","sorry","went","felt","waste","time","money","much","better","","","","","","","","","","",""
"gluten","free","menu","bullshit","wife","wheat","allergy","loved","place","lived","atlanta","eaten","menu","claims","","gluten","free","eaters","first","time","problems","second","time","","attack","three","minutes","left","driving","customers","place","","like","slammed","","order","came","wrong","health","issue","never","","","","","","","","","","","","","",""
"great","","intown","suites","","pretty","","","details","suffice","","pretty","shady","","","joint","prices","great","","family","friendly","made","mistake","","location","friends","visiting","town","nearish","house","prices","good","however","soon","regretted","advice","","noises","hours","funky","smells","","stay","away","","","","","","","","","","",""
"lawrences","posting","people","keep","inviting","based","original","review","couple","weeks","visited","ordered","collards","meal","served","glory","greens","cook","collards","menu","charge","much","serving","canned","glory","greens","tastes","like","stoffers","","cheese","oxtails","however","bomb","canned","fake","product","makes","comes","future","visits","","","","","","","","","","","","","",""
"miss","real","vito","","owners","changed","business","worst","nothing","tastes","anymore","","priced","just","blah","","back","original","recipes","specials","please","miss","good","","days","vito's","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"normally","like","ross","location","store","always","shambles","staff","","rude","security","gaurd","looks","like","gonna","beat","someone","billy","club","second","worst","dressing","rooms","","smell","urine","gross","favor","keep","driving","another","half","mile","kohls","comprable","prices","","better","store","customer","service","","","","","","","","","","","","","",""
"slow","service","","bowl","tomato","soup","","well","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
