"time","count","year"
20070101,68,2007
20070102,11,2007
20070103,3,2007
20070104,5,2007
20070105,4,2007
20070106,3,2007
20070107,8,2007
20070108,4,2007
20070109,3,2007
20070110,3,2007
20070111,9,2007
20070112,9,2007
20070113,4,2007
20070114,4,2007
20070115,13,2007
20070116,5,2007
20070117,5,2007
20070118,8,2007
20070119,6,2007
20070120,10,2007
20070121,4,2007
20070122,7,2007
20070123,7,2007
20070124,7,2007
20070125,13,2007
20070126,7,2007
20070127,2,2007
20070128,7,2007
20070129,11,2007
20070130,10,2007
20070131,8,2007
20070201,37,2007
20070202,6,2007
20070203,12,2007
20070204,9,2007
20070205,16,2007
20070206,11,2007
20070207,15,2007
20070208,19,2007
20070209,18,2007
20070210,28,2007
20070211,30,2007
20070212,39,2007
20070213,28,2007
20070214,44,2007
20070215,27,2007
20070216,19,2007
20070217,9,2007
20070218,2,2007
20070219,11,2007
20070220,11,2007
20070221,7,2007
20070222,4,2007
20070223,5,2007
20070224,2,2007
20070226,8,2007
20070227,7,2007
20070228,4,2007
20070301,21,2007
20070302,6,2007
20070303,5,2007
20070304,3,2007
20070305,3,2007
20070306,6,2007
20070307,10,2007
20070308,5,2007
20070309,6,2007
20070310,7,2007
20070311,6,2007
20070312,8,2007
20070313,7,2007
20070314,5,2007
20070315,7,2007
20070316,1,2007
20070317,1,2007
20070318,3,2007
20070319,4,2007
20070320,6,2007
20070321,13,2007
20070322,3,2007
20070323,7,2007
20070324,3,2007
20070325,1,2007
20070326,9,2007
20070327,3,2007
20070328,5,2007
20070329,2,2007
20070330,1,2007
20070331,8,2007
20070401,21,2007
20070402,3,2007
20070403,7,2007
20070404,3,2007
20070405,2,2007
20070406,4,2007
20070407,1,2007
20070408,5,2007
20070409,6,2007
20070410,8,2007
20070411,9,2007
20070412,2,2007
20070413,2,2007
20070414,2,2007
20070415,3,2007
20070416,5,2007
20070417,4,2007
20070418,4,2007
20070419,4,2007
20070420,4,2007
20070421,1,2007
20070422,2,2007
20070423,11,2007
20070424,6,2007
20070425,3,2007
20070426,4,2007
20070427,1,2007
20070429,2,2007
20070430,2,2007
20070501,22,2007
20070502,7,2007
20070503,4,2007
20070504,3,2007
