"time","count"
"19190620",1
"19191125",1
"19500501",1
"19561106",1
"19600314",1
"19670117",1
"19711005",1
"19740101",2
"19750101",2
"19750801",1
"19760101",1
"19760901",1
"19770101",1
"19790101",3
"19790209",1
"19790601",1
"19791101",1
"19800923",1
"19801201",1
"19811101",1
"19811201",1
"19820101",1
"19820601",1
"19830101",4
"19830301",1
"19830515",1
"19830801",1
"19831013",1
"19840101",5
"19840601",1
"19840901",1
"19850101",4
"19850102",1
"19850115",1
"19850301",1
"19850320",1
"19850321",1
"19850423",1
"19850501",1
"19850523",1
"19850812",1
"19850923",1
"19851124",1
"19860101",2
"19860327",1
"19860514",1
"19860725",1
"19861028",1
"19870101",5
"19870407",1
"19870501",1
"19870803",1
"19871001",1
"19871201",1
"19880101",6
"19880526",1
"19880701",1
"19881123",1
"19890101",6
"19890113",1
"19890201",1
"19890214",1
"19890601",1
"19890724",1
"19890801",2
"19890817",1
"19891001",1
"19891101",1
"19891102",1
"19891127",1
"19900101",9
"19900201",1
"19900303",1
"19900306",1
"19900601",1
"19900701",1
"19900704",1
"19900901",1
"19900906",1
"19901201",1
"19910101",7
"19910201",1
"19910225",2
"19910304",1
"19910401",2
"19910501",2
"19910701",1
"19910801",1
"19910911",1
"19911001",1
"19911101",1
"19920101",7
"19920201",1
"19920320",1
"19920409",1
"19920501",1
"19920601",1
"19920714",1
"19920724",1
"19920801",1
"19920808",1
"19920817",1
"19921001",1
"19930101",8
"19930115",2
"19930201",1
"19930301",3
"19930423",1
"19930501",1
"19930507",1
"19930527",1
"19930601",1
"19930701",3
"19930801",1
"19930820",1
"19930821",1
"19930904",1
"19930923",1
"19930928",1
"19931115",1
"19931212",1
"19940101",11
"19940214",1
"19940216",1
"19940301",1
"19940401",2
"19940429",1
"19940501",6
"19940516",2
"19940519",1
"19940531",1
"19940601",2
"19940701",1
"19940801",1
"19940901",1
"19941001",2
"19941003",1
"19941020",1
"19941030",1
"19941101",1
"19941107",1
"19941123",1
"19950101",13
"19950201",1
"19950221",1
"19950222",1
"19950225",2
"19950301",2
"19950401",1
"19950418",1
"19950525",1
"19950601",2
"19950701",2
"19950710",1
"19950801",2
"19950929",1
"19951101",1
"19951201",4
"19951208",1
"19951218",1
"19951227",2
"19960101",13
"19960129",1
"19960201",2
"19960209",1
"19960221",2
"19960227",1
"19960301",1
"19960524",1
"19960618",1
"19960701",1
"19960801",2
"19960814",1
"19960914",1
"19961123",1
"19970101",24
"19970201",1
"19970331",1
"19970401",2
"19970414",1
"19970415",1
"19970416",1
"19970501",2
"19970528",2
"19970601",1
"19970707",1
"19970716",1
"19970719",1
"19970801",1
"19970901",2
"19970912",2
"19970916",1
"19971001",4
"19971027",1
"19971201",1
"19971205",1
"19971217",1
"19980101",25
"19980116",1
"19980220",1
"19980226",1
"19980301",4
"19980302",1
"19980313",1
"19980401",2
"19980406",1
"19980410",1
"19980423",1
"19980424",1
"19980501",2
"19980522",1
"19980601",3
"19980606",1
"19980701",1
"19980801",3
"19980814",1
"19980815",1
"19980901",2
"19980917",1
"19980918",1
"19981001",1
"19981003",1
"19981007",1
"19981028",1
"19981101",1
"19981102",1
"19981106",1
"19981109",1
"19981201",4
"19981207",1
"19981216",1
"19990101",27
"19990106",1
"19990119",1
"19990126",1
"19990211",1
"19990215",1
"19990218",1
"19990224",1
"19990301",2
"19990303",1
"19990304",1
"19990313",1
"19990326",1
"19990401",4
"19990409",1
"19990521",1
"19990601",1
"19990623",1
"19990701",4
"19990702",1
"19990710",2
"19990715",1
"19990727",1
"19990729",1
"19990801",1
"19990820",1
"19990911",1
"19991001",2
"19991008",1
"19991013",1
"19991027",1
"19991101",2
"19991104",1
"19991116",1
"19991122",1
"19991123",1
"19991201",1
"20000101",15
"20000121",1
"20000124",1
"20000125",1
"20000127",2
"20000201",3
"20000208",1
"20000210",1
"20000215",1
"20000301",5
"20000308",1
"20000405",1
"20000410",1
"20000413",1
"20000414",1
"20000425",1
"20000426",1
"20000429",1
"20000501",4
"20000504",1
"20000512",1
"20000515",1
"20000520",1
"20000525",1
"20000528",1
"20000601",4
"20000602",1
"20000607",1
"20000611",1
"20000627",1
"20000701",3
"20000801",5
"20000809",1
"20000811",1
"20000901",6
"20001001",4
"20001003",1
"20001020",2
"20001026",1
"20001101",6
"20001107",1
"20001114",1
"20001130",1
"20001201",5
"20001205",1
"20001207",1
"20001228",1
"20010101",38
"20010102",1
"20010107",2
"20010110",1
"20010126",1
"20010127",1
"20010201",2
"20010206",1
"20010209",1
"20010301",5
"20010309",1
"20010313",1
"20010317",1
"20010325",1
"20010401",2
"20010405",1
"20010411",2
"20010415",1
