State,LandCategory,Region,Region or State,Year,Acre Value
Northeast,Farm Real Estate,Northeast,Region,2007,4920.0
Connecticut,Farm Real Estate,Northeast,State,2007,12700.0
Delaware,Farm Real Estate,Northeast,State,2007,10700.0
Maine,Farm Real Estate,Northeast,State,2007,2230.0
Maryland,Farm Real Estate,Northeast,State,2007,8500.0
Massachusetts,Farm Real Estate,Northeast,State,2007,11900.0
New Hampshire,Farm Real Estate,Northeast,State,2007,4800.0
New Jersey,Farm Real Estate,Northeast,State,2007,15700.0
New York,Farm Real Estate,Northeast,State,2007,2180.0
Pennsylvania,Farm Real Estate,Northeast,State,2007,4970.0
Rhode Island,Farm Real Estate,Northeast,State,2007,16400.0
Vermont,Farm Real Estate,Northeast,State,2007,2740.0
Lake,Farm Real Estate,Lake States,Region,2007,3180.0
Michigan,Farm Real Estate,Lake States,State,2007,3760.0
Minnesota,Farm Real Estate,Lake States,State,2007,2700.0
Wisconsin,Farm Real Estate,Lake States,State,2007,3640.0
Corn Belt,Farm Real Estate,Corn Belt,Region,2007,3290.0
Illinois,Farm Real Estate,Corn Belt,State,2007,4020.0
Indiana,Farm Real Estate,Corn Belt,State,2007,3640.0
Iowa,Farm Real Estate,Corn Belt,State,2007,3370.0
Missouri,Farm Real Estate,Corn Belt,State,2007,2170.0
Ohio,Farm Real Estate,Corn Belt,State,2007,3700.0
Northern Plains,Farm Real Estate,Northern Plains,Region,2007,896.0
Kansas,Farm Real Estate,Northern Plains,State,2007,980.0
Nebraska,Farm Real Estate,Northern Plains,State,2007,1140.0
North Dakota,Farm Real Estate,Northern Plains,State,2007,650.0
South Dakota,Farm Real Estate,Northern Plains,State,2007,770.0
Appalachian,Farm Real Estate,Appalachian,Region,2007,3520.0
Kentucky,Farm Real Estate,Appalachian,State,2007,2740.0
North Carolina,Farm Real Estate,Appalachian,State,2007,4330.0
Tennessee,Farm Real Estate,Appalachian,State,2007,3250.0
Virginia,Farm Real Estate,Appalachian,State,2007,4900.0
West Virginia,Farm Real Estate,Appalachian,State,2007,2300.0
Southeast,Farm Real Estate,Southeast,Region,2007,3890.0
Alabama,Farm Real Estate,Southeast,State,2007,2200.0
Florida,Farm Real Estate,Southeast,State,2007,5500.0
Georgia,Farm Real Estate,Southeast,State,2007,4350.0
South Carolina,Farm Real Estate,Southeast,State,2007,2820.0
Delta,Farm Real Estate,Delta States,Region,2007,2080.0
Arkansas,Farm Real Estate,Delta States,State,2007,2240.0
Louisiana,Farm Real Estate,Delta States,State,2007,1950.0
