CommodityCode,CommodityDescription,CountryCode,CountryName,MarketYear,CalendarYear,Month,AttributeId,AttributeDescription,UnitId,UnitDescription,Value
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,1,Area Planted,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,4,Area Harvested,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,20,Beginning Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,28,Production,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,57,Imports,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,86,Total Supply,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,88,Exports,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,125,Domestic Consumption,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,176,Ending Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AF,Afghanistan                   ,2010,2018,10,178,Total Distribution,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,1,Area Planted,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,4,Area Harvested,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,20,Beginning Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,28,Production,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,57,Imports,21,(MT)                ,6600.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,86,Total Supply,21,(MT)                ,6600.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,88,Exports,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,125,Domestic Consumption,21,(MT)                ,6600.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,176,Ending Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",AG,Algeria                       ,2010,2014,10,178,Total Distribution,21,(MT)                ,6600.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,1,Area Planted,12,(HA)                ,30389.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,4,Area Harvested,12,(HA)                ,27981.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,20,Beginning Stocks,21,(MT)                ,1000.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,28,Production,21,(MT)                ,37600.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,57,Imports,21,(MT)                ,2000.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,86,Total Supply,21,(MT)                ,40600.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,88,Exports,21,(MT)                ,23300.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,125,Domestic Consumption,21,(MT)                ,16300.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,176,Ending Stocks,21,(MT)                ,1000.0
0577400,"Almonds, Shelled Basis        ",AS,Australia                     ,2010,2015,10,178,Total Distribution,21,(MT)                ,40600.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,1,Area Planted,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,4,Area Harvested,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,20,Beginning Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,28,Production,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,57,Imports,21,(MT)                ,2100.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,86,Total Supply,21,(MT)                ,2100.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,88,Exports,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,125,Domestic Consumption,21,(MT)                ,2100.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,176,Ending Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",BR,Brazil                        ,2010,2018,10,178,Total Distribution,21,(MT)                ,2100.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,1,Area Planted,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,4,Area Harvested,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,20,Beginning Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,28,Production,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,57,Imports,21,(MT)                ,27600.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,86,Total Supply,21,(MT)                ,27600.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,88,Exports,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,125,Domestic Consumption,21,(MT)                ,27600.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,176,Ending Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",CA,Canada                        ,2010,2014,10,178,Total Distribution,21,(MT)                ,27600.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,1,Area Planted,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,4,Area Harvested,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,20,Beginning Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,28,Production,21,(MT)                ,2500.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,57,Imports,21,(MT)                ,45700.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,86,Total Supply,21,(MT)                ,48200.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,88,Exports,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,125,Domestic Consumption,21,(MT)                ,48200.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,176,Ending Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",CH,China                         ,2010,2014,10,178,Total Distribution,21,(MT)                ,48200.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,1,Area Planted,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,4,Area Harvested,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,20,Beginning Stocks,21,(MT)                ,800.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,28,Production,21,(MT)                ,9000.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,57,Imports,21,(MT)                ,2400.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,86,Total Supply,21,(MT)                ,12200.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,88,Exports,21,(MT)                ,9100.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,125,Domestic Consumption,21,(MT)                ,2700.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,176,Ending Stocks,21,(MT)                ,400.0
0577400,"Almonds, Shelled Basis        ",CI,Chile                         ,2010,2015,10,178,Total Distribution,21,(MT)                ,12200.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,1,Area Planted,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,4,Area Harvested,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,20,Beginning Stocks,21,(MT)                ,30000.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,28,Production,21,(MT)                ,93000.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,57,Imports,21,(MT)                ,224700.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,86,Total Supply,21,(MT)                ,347700.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,88,Exports,21,(MT)                ,11900.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,125,Domestic Consumption,21,(MT)                ,305800.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,176,Ending Stocks,21,(MT)                ,30000.0
0577400,"Almonds, Shelled Basis        ",E4,European Union                ,2010,2015,10,178,Total Distribution,21,(MT)                ,347700.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,1,Area Planted,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,4,Area Harvested,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,20,Beginning Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,28,Production,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,57,Imports,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,86,Total Supply,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,88,Exports,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,125,Domestic Consumption,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,176,Ending Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",GR,Greece                        ,2010,2010,10,178,Total Distribution,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,1,Area Planted,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,4,Area Harvested,12,(HA)                ,0.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,17,Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,19,Non-Bearing Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,16,Total Trees,10,(1000 TREES)        ,0.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,20,Beginning Stocks,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,28,Production,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,57,Imports,21,(MT)                ,20300.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,86,Total Supply,21,(MT)                ,20300.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,88,Exports,21,(MT)                ,0.0
0577400,"Almonds, Shelled Basis        ",HK,Hong Kong                     ,2010,2014,10,125,Domestic Consumption,21,(MT)                ,20300.0
