tag,text
pos,"Stash is a great place to go for some shopping if you are really willing to shell out the big bucks on basically jeans and tees. Going in for one item is okay, but try walking out with a few more items than that and you could look at a receipt for over a thusand dollars! I personally like to just look, get my shopping fix for the day, and bolt out before I find my wallet that I was probably digging for since walking through the door. Hey, my purse is like an old lady's carpet bag, but it helps save me dough since I can never find my cards!"
neu,"Average burger place for what I expected.  Nice to be able to pick your toppings.  Not the best burger I've had by a long shot.  Pricey, but not more than all the restaurants are in Vegas.  Went there late in the evening after the Jimmy Buffet concert....for some reason I was wanting a cheeseburger.  :-)

Had the Kobe burger with portobellos and blue cheese.  Tasty but didn't knock my socks off.  The sweet potato fries were okay, not the best I've tasted.  The fried zucchini was AWESOME though.  Just get them as your side instead of the sweet potato or regular fries...trust me.  Didn't have a shake or anything, but they did have a nice beer list and I enjoyed the Shiner Bock on tap.

The waitress wasn't very attentive. 

Overall I probably wouldn't go back because I could get just as good if not better somewhere else.  I will add that when I was at Bobby Flay's restaurant for brunch that day (Mesa Grill at Caesars Palace) they were bringing out some of their burgers that people ordered and they looked really tasty.  Might have to try one next time I go back to Lost Wages...er...I mean Las Vegas."
neg,"I'm going to be really harsh with my stars since this is Vegas but COME ON, this is LAS VEGAS and the MIRAGE, the MIRAGE IS NOT GHETTO and this place is... ghetto compared to the plethora of clubs in vegas.  Aside from Jet being small and the dance floor being impossible to move through, and the decor to be lacking, the security guards and everyone who was working for this place was an asshole (except for one of the gogo dancers).  We had a promoter escort us into the club and one of the bitches in charge named Joanna gave us the worst attitude ever. She actually snapped her fingers in my friend's face and yelled at her to ""FOCUS."" WHO DOES THAT? We weren't being obnoxious, we weren't drunk off our asses, we were a little intoxicated but we were just standing there waiting for them to bring us in.  Not only that but when we were inside the club, the security guards were ridiculously and unnecessarily pushy and mean and they kept kicking us out of the area outside of the bathroom.  We moved to the bar where other people were drinking and they still made us move just because we were still waiting for our friend in the bathroom. wtf.  Hell no, I'm not coming back."
neu,"Oh, if only THE Gordon of Gordon Biersch could see this location....

I think he would frown on the lack of garlic fries on the menu. All the GB classic plates are replaced with.... SANDWICHES? Who's restaurant is this? My frat boy brother's??? Seriously, sandwiches and beer makes me pretty much.... Drunk. Ordered a wich and a brew, and then complimented the sub-par food with a trip down to Chili's Too (ALSO in D terminal). 

Boo hiss. Three stars for the Martzen."
neu,"This is a contender for the diviest bar in this section of Old Town. It is a toss up between here and Gilligan's, imho. DJ's is much less intentionally trashy, whereas Gilligan's tries to pull off ""trashy-chic"" so score some extra points for it in that regard. For whatever reason, I kinda like that about it. 

It also has one of the highest probabilities of showcasing a good old fashioned bar fight. For whatever reason, I've seen more fights here than anywhere else in town (this place nudges out Loco Patron). 

The drinks here are stiff and the staff doesn't mess around. They are serious about keeping you in line and as wasted as you should be on a given night. 

So if you're thinking about getting rowdy, this might be a good place to start. Just don't be surprised if you get tossed out for being a little too ambitious with your intentions."
pos,"The theater, like the mall, is lovely and upscale. They have 20 screens so chances are, you could just show up and find something that appeals to you. Another plus is the snack bar. While we don't usually take advantage of it -- I go the M&M's and licorace in my purse route-- it does have an A+ selection if you're into that kind of thing. 

The seats are large, have head rests, and recline. They are spaced every-other-one so you don't have to look at the back of someone's head through the whole movie. A big bonus for kids or shorties like me. 

One more thing: They offer childcare. For $7 the kid gets to safely play while you watch an R rated movie. What a concept!"
pos,"I will give this food store 5 starts not because they have neat shelves filled with mostly the same product you can find at any big supermarket  but because it's the only place where I buy meat and fish. I have 4 big stores in a 2 mile radius  but  I spend extra 15 minutes to drive to AJ's Fine Foods. I'm so glad I found out about this chain as they have the best selection of seafood and meat in Chandler + it's always fresh. It's not cheap though, but I'm willing to pay extra and enjoy my dinner instead of opening a package and wondering why it smells funny...

Note: How do you know if the meat you buy is fresh? Smell it, it should not smell at all. Same about fish - it should not smell fishy, oh no!"
neu,"Dude, I clearly need to make friends with some people on here!  It was an acceptable choice for the weekend, though sharing a double bed isn't all that great (why no queens?).  It was clear from the design of the room that the possibility of four women sharing it was not contemplated.  The makeup light in the bathroom (which was tiny!) highlighted every flaw, there wasn't a full-length mirror, and it was almost impossible to blow-dry one's hair using the other (tiny) mirror in the actual room.  Seems like I might be the only one with this problem, though!  The pool area is nice and spacious, lots of chairs were available at different times and there were plenty of shady options for those of us with fair skin.

So if someone here wants to hook me up for next time, I'd be more than happy to update my review!"
pos,"This place is pretty yums and the prices are great! I got a sirloin cheesburger with fries for $11.. In Vegas, in the Mandelay Bay? That's great, don't-cha think? It was really good too. The service wasn't phenomenal, but it was good. I got a refill without asking for it and he was nice.
It was open pretty late too.. I think we got there around 11-ish? 
I was happy..:)"
neg,"My girlfriend's favorite restaurant is Red Lobster.  

(Can I get some sympathy?)

Since this location is near my mom, and near where we used to live, I've been there a lot.  Yea, I like their biscuits.  And the food isn't particularly bad or anything.  But DANG it's gotten expensive for what you're getting.  And the lines at this particular location can be insane!  We've had an hour's wait before.  An HOUR wait.  For Red Lobster!  Sigh....   I will say that we had a good experience not too long ago.  We went to the bar, as the wait was long.  We found out that we could order directly at the bar.  The bartender was our best server in a long time at that location.  And of course, we never had to wait long for a drink refill.  If you're thinking about going I suggest you sit in the bar.  

This will never be a place I suggest between the long waits and value for what you are and aren't getting.  But... she loves the Ultimate Feast and nothing will ever change that.  So I'm sure we'll end up going again...."
neg,"Don't stay here. It's gross. They turn the AC off during the week. There are creepy people everywhere. And most importantly, it doesn't feel too safe (if you're a woman). 

The casino is good for people-watching though. There are lots of interesting characters around, and many of the casino workers are dressed in costume, impersonating celebrities (Michael Jackson, Madonna, Whitney, Joan Jett, etc.)  

The Imperial Palace is trashy, not classy. You'll wish you had stayed somewhere else."
neg,"To be perfectly honest, Hubby and I went here because we wanted to check out  the cool building. And we like Sweet Tomatoes well enough, so we braved it in spite of some mediocre reviews. Let's just say I wasn't sure how fresh the lettuce was and if the cheese was real. No refills on drinks were offered while we were there. The selection was similar to Sweet Tomatoes, but lower quality. The soups didn't look great, so neither of us tried one- and they were different from what the website said they would be. The breads were ok, with the stand-out being the clearly from a mix cheesy drop-biscuit. Kinda sad. The pasta sauces looked off-color and the pizza appeared underdone and topped with cheap (again- real???) cheese. The desserts were alright- Hubby liked his non-dairy iced product in a cone well enough and I actually rather liked my strawberry shortcake. The inside of the building was not as cool as the outside, with some scary dust and water damaged panels in parts of the multi-layered ceiling. We asked the hostess what it had been before  and she said it had been a bank in the 70's. I managed to stop myself from quipping, ""Well you can bank on us not returning."""
neg,"found a hair in my food.
maybe a hairnet or two might help.
The outdoor seating is really sidewalk seating next to the parking lot and cars.
Would vote lower if the option were available."
neu,"decent food-   prices are reasonable considering you are at a 4 star hotel.  The quantities are huge.  I recommend the beef pho, side salad-

My service was good-  the waiter was attentive.

this is a 24 hour cafe so my expectations are not huge."
pos,"This place is a nice place to go for brunch, especially with a group - they're very accomodating even at the last minute.  Pretty view of the golf course from inside.  Atmosphere is a little rough around the edges, but the place is well loved.  The staff make you feel like family and the food always comes out fast.  The food is mediocre - never had anything there that was gourmet, but you can get a decent meal in a nice spot.  They do weddings and receptions and the pretty golf course scenery makes it a fine spot for a special occassion."
pos,I bought two bikes there last year.  Price and service terrific.
pos,"This was my 1st time using US Airways, which has joined forces with America West.  I have no real complaints here.  Check-in is simple with their kiosks.  Assigned seating is a standard.  Drinks and pretzels provided in flight, even if it's an hour flight.  I'd fly with them again."
neg,"First, let me say that Italian eateries appear to be a dime a dozen. ""Italian"" has become watered down into a bland mix of spaghetti, lasagna, pizzas and some bland salads on iceberg lettuce.  I got tired of these so-called Italian restaurants eons ago.  But someone suggested Fazoli's so I tried it. YUCK!  It fits right in with the bland, pseudo-Italian stuff I've been talking about. Does that mean the food is bad? Not necessarily, but you can see from my review my basis for judging it unsatisfying. It's just kinda nondescript, nonspecial, ""blah"" to me.   But that type of blandness could make it a good choice for a group of friends or a family with kids who want a casual dinner with familiar foods."
neu,"Try the curry chips.  They are the best I've had & try them at every Irish Pub I go to.

The beer is tasty & if it's not too hot outside, the patio is great."
neg,"If you don't like seafood do not come here! They only have a few other choices and the day I was there they were even out of what I wanted...I just think that's crappy and the waiter should tell you before you decide on your meal. I was really disappointed. 

I had to eat an appetizer for dinner (the risotto) because there wasn't anything else. It was okay...I split it with a friend...I think it was $14 and then they made us pay a $5 split charge and didn't tell us!! We would have ordered two things if we knew the charge was going to be 1/3 of our meal.

Just watch out! I was really disappointed! There are soooo many other fabulous place to eat in Vegas!"
pos,"This is a terrific homewares store!  Great selections of many categories of merchandise.  It ain't cheap, but it's all *quality* stuff. 

Most of the people are knowledgeable & happily helpful.

Almost everything I've bought here is completely satisfying.  On a rare occasion I've taken something back -- they simply replaced it or refunded my money.  No big deal about it.

Whenever I need something along their line, BB&B is where I go first.   Then I don't have to go anywhere else second."
pos,"Asking yourself ""what is the point of this magazine"" is like trying to find meaning in a Pauly Shore movie.  

There is no point!  Just sit back, relax, and allow yourself to be entertained.  Are you really expecting any sort of intellectual stimulation out of this magazine?  

944 Magazine is the perfect reading material when you're sitting on the toilet pushing one out.  You can go cover to cover in the 5-10 minutes you're on the john, laugh hysterically at points, get depressed over the future of society at other points, and otherwise keep yourself entertained.  And a bonus is that every once in a while you might find an event or new restaurant opening that piques your interest.  

And in the end, it's great for squishing scorpions.

Not to mention IT'S TOTALLY FREE.  I guess if you paid money for it, I can understand a little resentment.  But for a free throw-away?  Give me a break.

944 serves it's purpose perfectly."
neu,"I went here in the mid 90's so don't know what it's like now, but from what I remember, it was a fun little pseudo ghost town and worth the 45 trip out from Vegas to see it."
